Time,Initial Count,Final Count,Difference
5,61,65,5
10,65,74,9
15,74,77,3
20,77,86,9
25,86,90,4
30,90,98,8
35,98,102,5
40,102,109,7
45,109,115,6
50,115,119,4
55,119,127,8
60,127,131,4
65,137,144,7
70,144,150,6
75,150,153,3
80,153,166,13
85,166,170,4
90,170,177,7
95,177,182,5
100,182,188,6
105,188,194,6
110,194,200,6
115,200,207,7
120,207,212,5
125,89,93,4
130,93,102,9
135,102,105,3
140,105,114,9
145,114,118,4
150,118,125,7
155,125,130,5
160,130,137,7
165,137,143,6
170,143,148,5
175,148,155,7
180,155,159,4
185,159,167,8
190,167,171,4
195,171,180,9
200,180,183,3
205,183,192,9
210,192,196,5
215,196,202,6
220,202,208,6
225,208,215,7
230,215,220,5
235,220,225,5
240,225,232,7
245,232,237,5
250,237,245,8
255,245,248,2
260,248,257,10
265,257,261,5
270,261,269,10
275,269,274,5
280,274,280,6
285,280,286,7
290,286,292,7
295,292,299,7
300,299,304,5
305,304,310,6
310,310,314,4
315,314,323,10
320,323,326,2
325,326,336,10
330,336,339,3
335,339,348,9
340,348,352,4
345,352,358,6
350,358,364,6
355,364,370,6
360,370,377,7
365,377,381,5
370,381,389,8
375,389,392,3
380,392,401,9
385,401,404,3
390,404,413,9
395,413,417,4
400,417,425,8
405,425,430,5
410,430,436,6
415,436,442,6
420,442,447,5
425,72,75,3
430,75,76,1
435,76,85,9
440,85,88,3
445,88,97,9
450,97,101,4
455,101,108,7
460,108,113,5
465,113,119,6
470,119,125,6
475,125,130,5
480,130,138,8
485,138,142,4
490,142,150,8
495,150,153,3
500,153,163,11
505,163,166,3
510,166,175,9
515,175,179,4
520,179,185,6
525,185,191,6
530,191,197,6
535,197,203,6
540,203,208,5
545,208,215,7
550,215,220,5
555,220,228,8
560,228,232,4
565,232,240,8
570,240,244,4
575,244,252,8
580,252,258,6
585,258,263,5
590,263,269,6
595,269,274,5
600,274,281,7
605,281,287,6
610,287,293,6
615,293,297,4
620,297,306,9
625,306,309,3
630,309,318,9
635,318,322,4
640,322,331,9
645,331,334,3
650,334,341,7
655,341,347,6
660,347,352,5
665,352,358,6
670,358,364,6
675,364,371,7
680,371,376,5
685,376,384,8
690,384,388,4
695,388,396,8
700,396,400,4
705,400,408,8
710,408,412,4
715,412,418,6
720,418,425,7
725,425,430,5
730,430,437,7
735,437,442,5
740,442,450,8
745,450,453,3
750,453,462,9
755,462,466,4
760,466,474,8
765,474,478,4
770,478,487,9
775,487,491,4
780,491,497,6
785,497,503,6
790,503,509,6
795,509,515,6
800,515,520,5
805,520,527,7
810,527,531,4